Sample,Behaviour,Type
E15_S89,Extinction,murine
E19b_S88,Extinction,murine
E28_S87,Extinction,murine
E5b_S84,Extinction,murine
E7_S78,Extinction,murine
E8_S74,Extinction,murine
R21b_S76,Resilient,murine
R24_S82,Resilient,murine
R5_S75,Resilient,murine
R6_S81,Resilient,murine
S11b_S73,Susceptible,murine
S11_S83,Susceptible,murine
S13_S79,Susceptible,murine
S22b_S90,Susceptible,murine
S22_S77,Susceptible,murine
S3b_S86,Susceptible,murine
S4_S85,Susceptible,murine
S9_S80,Susceptible,murine
E12_S66,Extinction,murine
E1_S65,Extinction,murine
E23_S55,Extinction,murine
E25_S63,Extinction,murine
E30_S56,Extinction,murine
E3_S64,Extinction,murine
E9b_S70,Extinction,murine
R10b_S57,Resilient,murine
R10_S69,Resilient,murine
R14_S71,Resilient,murine
R21_S60,Resilient,murine
R26_S67,Resilient,murine
R29_S61,Resilient,murine
R2_S58,Resilient,murine
R6b_S54,Resilient,murine
R7b_S68,Resilient,murine
S20b_S59,Susceptible,murine
S27_S72,Susceptible,murine
S2b_S62,Susceptible,murine
