E15_S89,E19b_S88,E28_S87,E5b_S84,E7_S78,E8_S74,R21b_S76,R24_S82,R5_S75,R6_S81,S11b_S73,S11_S83,S13_S79,S22b_S90,S22_S77,S3b_S86,S4_S85,S9_S80,E12_S66,E1_S65,E23_S55,E25_S63,E30_S56,E3_S64,E9b_S70,R10b_S57,R10_S69,R14_S71,R21_S60,R26_S67,R29_S61,R2_S58,R6b_S54,R7b_S68,S20b_S59,S27_S72,S2b_S62,Otu
0,43249,0,0,0,0,0,0,0,0,0,0,0,50865,0,11393,0,0,0,0,1208,36460,0,374,44494,6151,0,0,0,64783,0,0,0,0,17402,0,3315,Otu0
12,29,8,8,15,37,17,0,26,49,15,21,101,27,22,16,14,45,28,12,8,11,31,0,41,24,10,29,25,13,25,27,4,17,33,14,7,Otu1
53,36,19,16,14,33,29,3,34,64,26,30,93,37,9,11,8,75,37,10,15,22,43,0,40,32,19,37,35,38,18,17,10,15,35,30,11,Otu2
1306,1447,747,1036,818,1571,1111,675,1588,2109,1008,1498,3635,1175,825,621,735,2453,1400,822,654,671,1451,486,1552,1332,1011,1533,1794,1131,908,1488,845,1178,1510,1237,693,Otu3
1140,1115,1995,1644,1284,1615,1547,607,2802,681,414,1713,863,1034,791,3251,3390,1142,1295,400,310,607,923,1104,818,315,1776,409,280,362,1090,1170,309,1478,700,1649,719,Otu4
0,0,0,0,0,100,0,0,52,0,0,14,0,24,23,87,0,11,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Otu5
0,0,0,0,81,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,4,0,0,Otu6
0,0,0,0,0,0,0,19,0,33,0,0,35,50,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,10,0,0,0,Otu7
850,200,144,1737,1010,530,348,727,6302,692,406,1108,521,51,1731,1200,1827,165,1372,64,605,911,147,721,542,455,239,0,3,89,73,138,703,1183,321,1272,282,Otu8
0,0,0,0,18,0,0,0,53,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,214,31,0,0,0,0,21,0,0,0,0,82,0,Otu9
25268,19697,16324,17984,16757,33515,7120,6033,40264,45581,14508,26131,26202,2277,14766,18796,19468,21863,15702,6094,7822,11146,12501,3974,8232,7015,29084,12883,8490,6231,16633,8777,5295,9409,9474,26612,8238,Otu10
19860,12293,12809,15638,13792,13354,13018,3078,20488,7378,6158,20623,10546,10741,13651,13926,12675,20734,10879,11460,9532,14999,12250,5325,9636,10168,8163,10760,16168,7732,15493,6030,5025,6814,3335,47629,3376,Otu11
3857,0,5753,28,232,0,29631,1534,1041,1785,0,2185,8344,19597,2683,22296,4073,1365,1796,80,3278,5559,0,10647,10309,5982,290,272,1717,258,884,2180,10255,14563,8542,4824,0,Otu12
0,0,0,173,8,23,38,14,46,3,34,15,31,142,0,78,21,0,0,0,34,0,0,20,206,102,2,43,61,47,26,0,10,0,49,33,2,Otu13
0,0,0,14,54,29,1,0,205,0,0,0,2,6,6,5,44,10,0,0,1,0,6,0,16,19,19,0,0,32,6,23,3,0,6,12,9,Otu14
203,34,301,293,569,0,142,137,673,328,43,488,348,589,865,395,1128,162,84,189,251,195,188,827,666,71,118,18,15,143,451,109,79,80,0,1176,153,Otu15
61,0,0,95,118,125,50,0,453,0,24,86,14,125,269,71,31,21,60,0,72,494,13,51,24,0,65,3,48,130,56,104,0,11,0,518,0,Otu16
9268,8272,6016,2922,3711,5710,10283,3146,11650,14758,1643,4475,24946,17942,5251,8630,13551,17153,7472,574,2184,2788,2895,2968,2134,1474,5256,5168,9159,1498,3934,3034,1703,2169,3127,4670,1129,Otu17
33,0,21,662,77,136,36,6983,675,177,2525,118,101,63,27,135,80,382,271,3259,30,70,89,59,85,471,0,123,0,5,19,89,5176,134,23,106,191,Otu18
0,44,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu19
0,46,67,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,48,0,72,0,0,0,51,49,0,Otu20
0,895,0,189,0,807,5927,0,0,0,0,96,1381,1258,2635,2339,0,155,0,0,2195,26,0,587,706,0,483,3933,1244,1059,0,0,0,0,575,0,0,Otu21
0,175,3970,0,0,0,2381,0,0,0,0,0,0,661,32,63,0,0,0,956,546,0,6775,0,0,0,0,3352,292,0,514,1408,0,0,151,0,0,Otu22
496,867,1423,21,859,2906,576,19853,4003,516,0,386,37741,3985,14486,324,4423,7826,801,25,124,399,300,532,0,0,826,6280,3919,307,2875,76,10311,19757,43,10436,75,Otu23
4580,3073,4745,1644,6136,2149,12844,0,7846,0,0,792,10412,5577,12228,6526,10150,2479,0,1573,3295,664,6309,1746,2857,0,1286,5605,2628,2046,2208,2913,0,294,2453,0,0,Otu24
0,0,0,15,0,0,0,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Otu25
53,26,163,34,18,8,21,254,251,449,459,110,69,49,88,78,50,127,303,383,2,0,35,78,8,114,10,101,52,65,5,11,36,58,71,179,28,Otu26
13,0,0,0,302,0,0,25,0,48,1201,0,0,0,0,0,0,0,0,5,0,0,0,2721,0,0,481,513,81,0,13,86,0,0,0,260,0,Otu27
0,128,1,0,2,17,0,0,11,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,1,15,0,0,27,0,0,0,0,6,24,0,0,Otu28
722,164,77,13,80,24,58,94,338,583,129,748,1047,84,23,12,69,81,531,304,0,40,61,41,44,399,19,295,91,71,11,39,22,50,40,200,23,Otu29
647,1523,1187,0,2097,272,163,12,0,4,110,501,0,0,1137,790,0,828,2172,0,0,0,0,0,0,270,819,43,535,0,0,41,1790,0,42,49,365,Otu30
335,1070,310,7340,271,803,131,304,0,3647,59,1124,17,17,0,200,0,137,0,1259,6,25,333,0,0,409,27,131,646,8,171,46,41,0,0,58,6,Otu31
57,8,36,0,66,18,333,147,22,81,15,29,20,26,12,4,11,80,101,59,0,0,458,0,7,22,10,33,15,0,0,30,25,11,0,22,4,Otu32
0,0,0,0,0,2,0,0,460,5,0,0,0,0,0,0,2,64,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,38,0,43,Otu33
0,768,0,300,9,143,135,569,90,217,255,0,41,74,23,0,0,9,3886,171,0,0,105,0,0,0,17,0,0,0,13,0,31,0,154,49,418,Otu34
145,8588,130,52,346,514,256,367,0,283,1400,271,3122,729,794,133,257,833,104,2578,13,0,131,10,101,2710,249,136,52,0,294,2040,759,283,1657,119,361,Otu35
0,2988,196,26,813,192,0,14,10,23,30,70,0,0,0,3,0,26,29,91,0,0,0,0,0,77,0,22,1,0,0,251,187,160,646,3,0,Otu36
2,2,23,12,368,2,0,66,2,73,245,42,43,0,14,20,16,1118,70,11,0,0,0,96,0,5,58,13,9,0,0,0,11,22,7,13,0,Otu37
10,117,109,244,71,54,24,381,91,300,391,159,26,17,20,90,56,81,146,334,40,12,0,71,88,219,68,75,226,17,28,15,73,72,47,23,71,Otu38
107,435,153,1031,26,66,0,66,0,321,204,64,26,200,0,116,40,508,122,974,6,22,16,431,173,27,9,99,234,0,108,56,69,2,236,7,377,Otu39
240,1550,633,1378,696,729,399,2832,927,2330,1770,1445,654,352,211,682,378,840,1791,2782,148,59,221,271,766,1804,388,860,589,139,197,248,1421,628,436,665,1419,Otu40
6176,160,16040,2123,53,17920,6266,116,0,0,550,808,229,449,7329,372,1244,0,0,56,25812,694,25494,241,57717,7769,51,29,3159,924,4721,25822,0,0,0,217,0,Otu41
0,0,0,0,0,0,0,106,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,Otu42
8,233,61,615,62,246,13,262,24,286,254,60,28,8,11,77,73,268,356,493,15,65,1,79,24,174,84,123,30,0,25,79,268,62,126,23,374,Otu43
6,0,98,21,0,73,21,39,0,82,17,0,42,115,13,11,0,0,112,0,103,0,107,0,0,0,0,48,0,63,0,34,0,0,0,165,0,Otu44
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu45
15,17201,6597,0,291,2903,35567,36,579,12330,59194,302,103290,129240,20275,5559,147,38087,60,0,9852,0,30755,18533,79715,3594,366,18268,0,4481,124,2478,5373,1549,2427,6251,126,Otu46
0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu47
0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,Otu48
0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu49
0,0,505,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu50
0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu51
0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu52
0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,Otu53
929,586,1655,2380,866,1311,348,174,1924,100,421,1336,281,361,983,2276,1538,690,269,132,526,1063,244,398,978,947,1694,470,225,204,543,823,326,561,461,8035,6210,Otu54
148,0,27,247,0,84,108,27,62,0,0,31,0,0,27,55,0,29,0,0,0,72,0,0,25,0,30,80,0,42,0,81,0,27,0,252,21,Otu55
0,0,90,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,42,0,41,0,0,0,0,0,0,0,0,0,0,0,35,Otu56
183,129,75,265,150,50,48,0,139,0,26,83,24,0,0,217,51,64,0,0,67,74,0,0,66,38,183,47,0,73,116,74,24,37,12,795,386,Otu57
0,0,0,41,0,37,0,0,0,0,39,0,0,0,0,109,192,76,44,0,33,0,0,0,0,0,39,0,0,0,0,0,0,71,0,334,253,Otu58
0,42,0,22,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,Otu59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,Otu60
551,36,238,880,344,278,369,34,193,116,325,428,67,0,135,580,575,391,0,41,281,477,0,109,462,428,1400,99,104,184,245,234,101,473,356,1598,2423,Otu61
0,0,0,0,0,0,0,0,34,0,0,0,30,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu62
0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,35,Otu63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,Otu64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,18,Otu65
