Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0,k__Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_pseudolongum
Otu1,k__Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia_equolifaciens
Otu2,k__Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Asaccharobacter,Asaccharobacter_celatus
Otu3,k__Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Enterorhabdus,Enterorhabdus_caecimuris
Otu4,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_caecimuris
Otu5,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_faecichinchillae
Otu6,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis
Otu7,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
Otu8,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
Otu9,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus
Otu10,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae_unclassified,Muribaculaceae_bacterium_DSM_103720
Otu11,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum_intestinale
Otu12,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_sp_MGM1
Otu13,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_indistinctus
Otu14,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_timonensis
Otu15,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_distasonis
Otu16,k__Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_goldsteinii
Otu17,k__Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella,Imtechella_halotolerans
Otu18,k__Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,Mucispirillum_schaedleri
Otu19,k__Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_nepalensis
Otu20,k__Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_hirae
Otu21,k__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_intestinalis
Otu22,k__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_johnsonii
Otu23,k__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_murinus
Otu24,k__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_reuteri
Otu25,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sp_ASF356
Otu26,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_sp_ASF502
Otu27,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_plexicaudatum
Otu28,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Acetatifactor_muris
Otu29,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea_sp_5_2
Otu30,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_10_1
Otu31,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_28_4
Otu32,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_3_1
Otu33,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_3_2
Otu34,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_A2
Otu35,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_A4
Otu36,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_COE1
Otu37,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_M18_1
Otu38,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter_sp_1_3
Otu39,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Acutalibacter_muris
Otu40,k__Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus_sp_G3_2012
Otu41,k__Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum_rodentium
Otu42,k__Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
Otu43,k__Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_bacterium_ASF500
Otu44,k__Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Turicimonas,Turicimonas_muris
Otu45,k__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
Otu46,k__Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_muciniphila
Otu47,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Myoviridae,Myoviridae_unclassified,Enterobacteria_phage_SfV
Otu48,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Myoviridae,Myoviridae_unclassified,Shigella_phage_SfIV
Otu49,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Siphoviridae,Siphoviridae_unclassified,Enterobacteria_phage_cdtI
Otu50,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Siphoviridae,Siphoviridae_unclassified,Lactobacillus_phage_phiadh
Otu51,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Siphoviridae,Siphoviridae_unclassified,Lactococcus_phage_BM13
Otu52,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Siphoviridae,Siphoviridae_unclassified,Microbacterium_phage_Min1
Otu53,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Siphoviridae,Siphoviridae_unclassified,Stx2_converting_phage_1717
Otu54,k__Viruses,Viruses_unclassified,Viruses_unclassified,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid_herpesvirus_3
Otu55,k__Viruses,Viruses_unclassified,Viruses_unclassified,Herpesvirales,Herpesviridae,Macavirus,Alcelaphine_gammaherpesvirus_1
Otu56,k__Viruses,Viruses_unclassified,Viruses_unclassified,Herpesvirales,Herpesviridae,Rhadinovirus,Ateline_gammaherpesvirus_3
Otu57,k__Viruses,Viruses_unclassified,Viruses_unclassified,Ortervirales,Retroviridae,Betaretrovirus,Mouse_mammary_tumor_virus
Otu58,k__Viruses,Viruses_unclassified,Viruses_unclassified,Ortervirales,Retroviridae,Gammaretrovirus,Abelson_murine_leukemia_virus
Otu59,k__Viruses,Viruses_unclassified,Viruses_unclassified,Ortervirales,Retroviridae,Gammaretrovirus,Feline_leukemia_virus
Otu60,k__Viruses,Viruses_unclassified,Viruses_unclassified,Ortervirales,Retroviridae,Gammaretrovirus,Koala_retrovirus
Otu61,k__Viruses,Viruses_unclassified,Viruses_unclassified,Ortervirales,Retroviridae,Gammaretrovirus,Murine_osteosarcoma_virus
Otu62,k__Viruses,Viruses_unclassified,Viruses_unclassified,Viruses_unclassified,Baculoviridae,Alphabaculovirus,Chrysodeixis_chalcites_nucleopolyhedrovirus
Otu63,k__Viruses,Viruses_unclassified,Viruses_unclassified,Viruses_unclassified,Polydnaviridae,Bracovirus,Cotesia_congregata_bracovirus
Otu64,k__Viruses,Viruses_unclassified,Viruses_unclassified,Caudovirales,Myoviridae,Myoviridae_unclassified,Lactobacillus_prophage_Lj771
Otu65,k__Viruses,Viruses_unclassified,Viruses_unclassified,Herpesvirales,Alloherpesviridae,Cyprinivirus,Anguillid_herpesvirus_1
